| kind | obj                  | ord | detail                                                 | extra                                                                                            |
| ---- | -------------------- | --- | ------------------------------------------------------ | ------------------------------------------------------------------------------------------------ |
| col  | audit_logs           | 1   | id                                                     | uuid                                                                                             |
| col  | audit_logs           | 2   | school_id                                              | uuid                                                                                             |
| col  | audit_logs           | 3   | actor_id                                               | uuid                                                                                             |
| col  | audit_logs           | 4   | action                                                 | text                                                                                             |
| col  | audit_logs           | 4   | action                                                 | text                                                                                             |
| col  | audit_logs           | 5   | entity                                                 | text                                                                                             |
| col  | audit_logs           | 6   | entity_id                                              | uuid                                                                                             |
| col  | audit_logs           | 7   | metadata                                               | jsonb                                                                                            |
| col  | audit_logs           | 8   | created_at                                             | timestamp with time zone                                                                         |
| con  | audit_logs           | 0   | audit_logs_pkey                                        | PRIMARY KEY (id)                                                                                 |
| con  | audit_logs           | 0   | audit_logs_school_id_fkey                              | FOREIGN KEY (school_id) REFERENCES schools(id) ON DELETE CASCADE                                 |
| col  | ledger_entries       | 1   | id                                                     | uuid                                                                                             |
| col  | ledger_entries       | 2   | school_id                                              | uuid                                                                                             |
| col  | ledger_entries       | 3   | student_id                                             | uuid                                                                                             |
| col  | ledger_entries       | 4   | amount                                                 | numeric(12,2)                                                                                    |
| col  | ledger_entries       | 5   | entry_type                                             | ledger_entry_type                                                                                |
| col  | ledger_entries       | 6   | entry_category                                         | ledger_entry_category                                                                            |
| col  | ledger_entries       | 7   | reference_id                                           | uuid                                                                                             |
| col  | ledger_entries       | 8   | metadata                                               | jsonb                                                                                            |
| col  | ledger_entries       | 9   | client_sequence                                        | integer                                                                                          |
| col  | ledger_entries       | 10  | device_id                                              | text                                                                                             |
| col  | ledger_entries       | 11  | created_at                                             | timestamp with time zone                                                                         |
| col  | ledger_entries       | 12  | idempotency_key                                        | text                                                                                             |
| col  | ledger_entries       | 13  | source_document_type                                   | text                                                                                             |
| col  | ledger_entries       | 14  | source_document_id                                     | text                                                                                             |
| con  | ledger_entries       | 0   | ledger_entries_amount_check                            | CHECK ((amount >= (0)::numeric))                                                                 |
| con  | ledger_entries       | 0   | ledger_entries_pkey                                    | PRIMARY KEY (id)                                                                                 |
| con  | ledger_entries       | 0   | ledger_entries_school_id_device_id_client_sequence_key | UNIQUE (school_id, device_id, client_sequence)                                                   |
| con  | ledger_entries       | 0   | ledger_entries_school_id_fkey                          | FOREIGN KEY (school_id) REFERENCES schools(id) ON DELETE CASCADE                                 |
| con  | ledger_entries       | 0   | ledger_entries_student_id_fkey                         | FOREIGN KEY (student_id) REFERENCES students(id) ON DELETE RESTRICT                              |
| col  | payment_accounts     | 1   | id                                                     | uuid                                                                                             |
| col  | payment_accounts     | 2   | school_id                                              | uuid                                                                                             |
| col  | payment_accounts     | 3   | student_id                                             | uuid                                                                                             |
| col  | payment_accounts     | 4   | provider_name                                          | text                                                                                             |
| col  | payment_accounts     | 5   | account_number                                         | text                                                                                             |
| col  | payment_accounts     | 6   | bank_name                                              | text                                                                                             |
| col  | payment_accounts     | 7   | account_reference                                      | text                                                                                             |
| col  | payment_accounts     | 8   | provider_student_reference                             | text                                                                                             |
| col  | payment_accounts     | 9   | status                                                 | text                                                                                             |
| col  | payment_accounts     | 10  | provider                                               | text                                                                                             |
| col  | payment_accounts     | 11  | provider_account_id                                    | text                                                                                             |
| col  | payment_accounts     | 11  | provider_account_id                                    | text                                                                                             |
| col  | payment_accounts     | 12  | provider_reference                                     | text                                                                                             |
| col  | payment_accounts     | 13  | virtual_account_number                                 | text                                                                                             |
| col  | payment_accounts     | 14  | account_name                                           | text                                                                                             |
